PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	The	DT	0	3	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	Role	NNP	4	8	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	of	IN	9	11	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	Vitamin	NNP	12	19	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	D	NNP	20	21	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	in	IN	22	24	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	Reproductive	NNP	25	37	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	Health	NNP	38	44	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	—	VBD	44	45	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	A	NNP	45	46	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	Trojan	NNP	47	53	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	Horse	NNP	54	59	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	or	CC	60	62	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	the	DT	63	66	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	Golden	NNP	67	73	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	Fleece	NNP	74	80	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_0	0	81	?	.	80	81	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	Abstract	NNP	83	91	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	In	IN	92	94	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	the	DT	95	98	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	last	JJ	99	103	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	decade	NN	104	110	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	,	,	110	111	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	vitamin	FW	112	119	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	D	NNP	120	121	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	was	VBD	122	125	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	in	IN	126	128	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	the	DT	129	132	O	None	None	None
PMC4488777.nxml.gz	PMC4488777.nxml.gz_1	83	170	spotlight	NN	133	142	O	None	None	None
