PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC4488777.nxml.gz	0	['The Role of Vitamin D in Reproductive Health—A Trojan Horse or the Golden Fleece?']	(0, 81)	TRUE
PMC4488777.nxml.gz	1	['Abstract\nIn the last decade, vitamin D was in the spotlight in many fields of research.']	(83, 170)	FALSE
PMC4488777.nxml.gz	2	['Despite numerous publications, its influence on reproductive health remains ambiguous.']	(171, 257)	FALSE
PMC4488777.nxml.gz	3	['This paper presents an up-to-date review of current knowledge concerning the role of cholecalciferol in human reproduction.']	(258, 381)	FALSE
PMC4488777.nxml.gz	4	['It covers various infertility issues, such as polycystic ovary syndrome, endometriosis, myoma-induced infertility, male infertility, premature ovary failure and in vitro fertilization techniques.']	(382, 577)	FALSE
PMC4488777.nxml.gz	5	['Vitamin D deficiency, defined as serum concentration of 25-hydroxycalciferol of less than 50 nmol/L, is commonly noted more frequently than only in fertility clinic patients.']	(578, 752)	FALSE
PMC4488777.nxml.gz	6	['It is a global trend that is observed in all age groups.']	(753, 809)	FALSE
PMC4488777.nxml.gz	7	['The results of original publications dated up to 2015 have been summarized and discussed in a critical manner.']	(810, 920)	FALSE
PMC4488777.nxml.gz	8	['Most experts agree that vitamin D supplementation is a necessity, particularly in women suffering from obesity, insulin resistance or small ovarian reserve, as well as in men with oligo- and asthenozoospermia if serum concentration should fall below 50 nmol/L (normal range up to 125 nmol/L).']	(921, 1213)	FALSE
PMC4488777.nxml.gz	9	['High concentration of vitamin D and its metabolites in decidua during the 1st trimester suggests its important role in the implantation process and a local immunological embryo-protection.']	(1214, 1402)	FALSE
PMC4488777.nxml.gz	10	['On the other hand, evidence-based research did not prove a significant difference so far in ovulation stimulation or embryo development depending on vitamin D level.']	(1403, 1568)	FALSE
PMC4488777.nxml.gz	11	['In one of the publications, it was also found that vitamin D binding protein (VDBP) has a molecular similarity to anti-sperm antibodies, and another one concluded that both low (<50 nmol/L) and high (>125 nmol/L) concentration of vitamin D are associated with decreased number and quality of spermatozoa in semen.']	(1569, 1882)	FALSE
PMC4488777.nxml.gz	12	['Vitamin D is definitely not a Trojan Horse in reproductive health, since there were no adverse effects reported for vitamin D intake of up to 10,000 IU/day, but to proclaim it the Golden Fleece, more evidence is needed.']	(1883, 2102)	FALSE
PMC4488777.nxml.gz	13	['1.']	(2104, 2106)	FALSE
PMC4488777.nxml.gz	14	['Introduction\nThe role of vitamin D in fertility treatment has been recently described in some comprehensive reports [1,2].']	(2107, 2229)	FALSE
PMC4488777.nxml.gz	15	['Numerous publications proclaim this particle a panacea for various mental and somatic chronic diseases, while other advise caution in prescribing it to some groups of patients.']	(2230, 2406)	FALSE
PMC4488777.nxml.gz	16	['What is the role of cholecalciferol in human reproduction?']	(2407, 2465)	TRUE
PMC4488777.nxml.gz	17	['Should its supplementation become a golden standard in fertility treatment, or do we still need more evidence on its effect?']	(2466, 2590)	TRUE
PMC4488777.nxml.gz	18	['Today we know that, in a healthy woman, vitamin D serum concentration is higher than in patients suffering from polycystic ovaries syndrome (PCOS).']	(2591, 2738)	FALSE
PMC4488777.nxml.gz	19	['Vitamin D activity pathways in patients with PCOS remain unknown, but cholecalciferol supplementation improves their insulin resistance and the effects of infertility treatment.']	(2739, 2916)	FALSE
PMC4488777.nxml.gz	20	['Vitamin D stimulates anti-Müllerian hormone (AMH) production as well, which is highly correlated with ovarian reserve preservation.']	(2917, 3048)	FALSE
PMC4488777.nxml.gz	21	['Likewise, in patients with vitamin D deficiency, a higher occurrence of uterine myomas is observed—another established reason for infertility.']	(3049, 3191)	FALSE
PMC4488777.nxml.gz	22	['Moreover, it was found that a high concentration of calcidiol is related to greater endometriosis incidence, which was explained by diminishing elimination of endometrial cells that pass to the peritoneal cavity via ovarian reflux.']	(3192, 3423)	FALSE
PMC4488777.nxml.gz	23	['Like females, male low (<50 nmol/L) and high (>125 nmol/L) vitamin D serum concentrations decrease not only spermatozoa count but also their progressive movement as well as increasing morphology abnormalities.']	(3424, 3633)	FALSE
PMC4488777.nxml.gz	24	['Therefore, a clinician must be careful when prescribing vitamin D preparations, especially in male patients.']	(3634, 3742)	FALSE
PMC4488777.nxml.gz	25	['Background: Since classical development of medicine in 1920, Vitamin D (cholecalciferol, VD) was strongly associated with rickets, after observation that cod liver consumption leads to a regression in rickets symptoms [3].']	(3743, 3965)	FALSE
PMC4488777.nxml.gz	26	['At the verge of the 21st century, rickets was sporadically observed in Europe.']	(3966, 4044)	FALSE
PMC4488777.nxml.gz	27	['However, in developing countries, it is still a common problem in the pediatric population [4,5].']	(4045, 4142)	FALSE
PMC4488777.nxml.gz	28	['Currently, researchers are attempting to reveal the non-classical influence of cholecalciferol on health.']	(4143, 4248)	FALSE
PMC4488777.nxml.gz	29	['Lower vitamin D levels have been found in many autoimmune diseases, such as rheumatoid arthritis, systemic lupus erythematosus, systemic sclerosis, type 1 diabetes mellitus, multiple sclerosis, inflammatory bowel diseases, autoimmune thyroid diseases [6,7].']	(4249, 4506)	FALSE
PMC4488777.nxml.gz	30	['Since 2013, the database of the US National Library of Medicine National Institutes of Health (PubMed) has gained 2050 new publications about vitamin D and contains 62,427 articles regarding this subject.']	(4507, 4711)	FALSE
PMC4488777.nxml.gz	31	['Research on the role of vitamin D in reproduction process modulation seems especially interesting; their conclusions presumably have a significant practical meaning in infertility treatment, a serious medical problem affecting up to 53 million people worldwide [8].']	(4712, 4977)	FALSE
PMC4488777.nxml.gz	32	['For the time being, we know that vitamin D exists in two forms: vitamin D2(ergocalciferol) and D3(cholecalciferol).']	(4978, 5093)	FALSE
PMC4488777.nxml.gz	33	['In animals, D3is synthesized in the skin from its derivate (7-dehydrocholesterol) in the presence of ultraviolet B radiation (UVB), while D2is made in fungi and yeast.']	(5094, 5261)	FALSE
PMC4488777.nxml.gz	34	['Vitamin D uptake in the common diet is of minor significance, although cholecalciferol can be found in sea fish fat and liver oil, while ergocalciferol in green plants and mushrooms.']	(5262, 5444)	FALSE
PMC4488777.nxml.gz	35	['In serum, vitamin D is transported by vitamin D-binding protein (VDBP) to the liver and metabolized to an active form of 25-hydroxycalciferol (25[OH] D) [9].']	(5445, 5602)	FALSE
PMC4488777.nxml.gz	36	['An optimal level of vitamin D concentration in blood serum should range between 50 and 125 nmol/L [10], even though some environmental studies imply that the target level should be set much higher—up to 250, or even at 300 nmol/L [11,12].']	(5603, 5841)	FALSE
PMC4488777.nxml.gz	37	['Its chemical structure resembles steroid hormones and it acts likewise via nuclear receptor (VDR, vitamin D receptor).']	(5842, 5960)	FALSE
