PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC6039335.nxml.gz	0	['Genetic, management, and nutritional factors affecting intramuscular fat deposition in beef cattle — A review\n\nAbstract\nIntramuscular fat (IMF) content in skeletal muscle including the longissimus dorsi muscle (LM), also known as marbling fat, is one of the most important factors determining beef quality in several countries including Korea, Japan, Australia, and the United States.']	(0, 384)	FALSE
PMC6039335.nxml.gz	1	['Genetics and breed, management, and nutrition affect IMF deposition.']	(385, 453)	FALSE
PMC6039335.nxml.gz	2	['Japanese Black cattle breed has the highest IMF content in the world, and Korean cattle (also called Hanwoo) the second highest.']	(454, 582)	FALSE
PMC6039335.nxml.gz	3	['Here, we review results of research on genetic factors (breed and sex differences and heritability) that affect IMF deposition.']	(583, 710)	FALSE
PMC6039335.nxml.gz	4	['Cattle management factors are also important for IMF deposition.']	(711, 775)	FALSE
PMC6039335.nxml.gz	5	['Castration of bulls increases IMF deposition in most cattle breeds.']	(776, 843)	FALSE
PMC6039335.nxml.gz	6	['The effects of several management factors, including weaning age, castration, slaughter weight and age, and environmental conditions on IMF deposition are also reviewed.']	(844, 1013)	FALSE
PMC6039335.nxml.gz	7	['Nutritional factors, including fat metabolism, digestion and absorption of feed, glucose/starch availability, and vitamin A, D, and C levels are important for IMF deposition.']	(1014, 1188)	FALSE
PMC6039335.nxml.gz	8	['Manipulating IMF deposition through developmental programming via metabolic imprinting is a recently proposed nutritional method to change potential IMF deposition during the fetal and neonatal periods in rodents and domestic animals.']	(1189, 1423)	FALSE
PMC6039335.nxml.gz	9	['Application of fetal nutritional programming to increase IMF deposition of progeny in later life is reviewed.']	(1424, 1533)	FALSE
PMC6039335.nxml.gz	10	['The coordination of several factors affects IMF deposition.']	(1534, 1593)	FALSE
PMC6039335.nxml.gz	11	['Thus, a combination of several strategies may be needed to manipulate IMF deposition, depending on the consumer’s beef preference.']	(1594, 1724)	TRUE
PMC6039335.nxml.gz	12	['In particular, stage-specific feeding programs with concentrate-based diets developed by Japan and Korea are described in this article.']	(1725, 1860)	FALSE
PMC6039335.nxml.gz	13	['INTRODUCTION\nIntramuscular fat (IMF) deposition or marbling in muscle including the longissimus thoracis et lumborum , infraspinatus , and biceps femoris , especially in Korean cattle (also called Hanwoo) and Japanese Black cattle, is one of the most important traits influencing beef quality and palatability attributes.']	(1862, 2183)	FALSE
PMC6039335.nxml.gz	14	['Marbling is positively correlated with juiciness, tenderness, and palatability of beef [1].']	(2184, 2275)	FALSE
PMC6039335.nxml.gz	15	['For example, beef with higher IMF produces higher sensory traits, including tenderness, juiciness, flavor, and overall acceptability in Korean cattle [2] and in USA beef samples [3].']	(2276, 2458)	FALSE
PMC6039335.nxml.gz	16	['Most marbling fat is deposited between muscle fibre bundles in the perimysial connective tissue in beef cattle [4].']	(2459, 2574)	FALSE
PMC6039335.nxml.gz	17	['Marbling adipocytes are also found within muscle bundles in the longissimus dorsi muscle (LM) of high-quality grade Japanese Black cattle [5].']	(2575, 2717)	FALSE
PMC6039335.nxml.gz	18	['The production of highly marbled beef in Korea is essential to compete with cheap imported beef that has a relatively low marbling score (MS).']	(2718, 2860)	FALSE
PMC6039335.nxml.gz	19	['Several countries, including Korea, Japan, Australia and the USA, have considered IMF content as important to beef quality grade (QG), whereas European countries, including France and Germany, prefer leaner meat (less IMF content).']	(2861, 3092)	FALSE
PMC6039335.nxml.gz	20	['Understanding the factors affecting IMF deposition and the mechanisms responsible for its deposition is important when manipulating IMF deposition.']	(3093, 3240)	FALSE
PMC6039335.nxml.gz	21	['Our laboratory has studied IMF deposition for more than a decade to understand the mechanisms responsible for IMF deposition in beef cattle [6–12], and we have reviewed molecular mechanisms responsible for IMF deposition in cattle [13].']	(3241, 3477)	FALSE
PMC6039335.nxml.gz	22	['In this review, we first provide an overview of muscle and fat cell growth in ruminants.']	(3478, 3566)	FALSE
PMC6039335.nxml.gz	23	['Factors affecting IMF deposition can be sub-categorized into genetic (breed and sex differences, heritability), management (weaning age, castration, slaughter weight and age, and environment), and nutritional factors (fat metabolism, fat digestion and absorption, glucose/starch availability, roughage vs concentrate ratio, dietary energy and protein levels, vitamins A, D, and C levels, fetal and neonatal nutritional programming, and stage-specific feeding systems).']	(3567, 4035)	FALSE
PMC6039335.nxml.gz	24	['Here, we also review these factors affecting IMF deposition in cattle.']	(4036, 4106)	FALSE
PMC6039335.nxml.gz	25	['OVERVIEW OF MUSCLE AND FAT CELL GROWTH IN RUMINANTS\nSkeletal muscle including the LM mainly consists of skeletal muscle fibres (myofibres), but it also contains fat cells, connective tissue or extracellular matrix, and various other cell types including satellite cells, immune cells and blood vessels.']	(4108, 4410)	FALSE
PMC6039335.nxml.gz	26	['The ratio of muscle to fat cells varies depending on the amount of IMF deposited.']	(4411, 4492)	FALSE
PMC6039335.nxml.gz	27	['Muscle and fat cell growth typically occur as mass increases due to both hyperplasia (increase in cell number) and hypertrophy (increase in cell size) [14,15].']	(4493, 4652)	FALSE
PMC6039335.nxml.gz	28	['It is important to identify the mechanisms responsible for initial muscle and fat cell growth during the developmental stage of cattle to better understand IMF deposition in later life.']	(4653, 4838)	FALSE
PMC6039335.nxml.gz	29	['Muscle and fat cell development are dependent on myogenesis (muscle cell formation) and adipogenesis (fat cell formation), respectively [16].']	(4839, 4980)	FALSE
PMC6039335.nxml.gz	30	['The process of skeletal muscle and adipose tissue development during the fetal stage in laboratory animals and livestock including ruminants has been well described in reviews by Du et al [16–18].']	(4981, 5177)	FALSE
PMC6039335.nxml.gz	31	['Du et al [16] proposed that myogenic, adipogenic, and fibrogenic cells are derived from common mesenchymal progenitor cells.']	(5178, 5302)	FALSE
PMC6039335.nxml.gz	32	['Briefly, they proposed that mesenchymal stem cells are first committed to the myogenic and adipogenic–fibrogenic cell lineages during fetal muscle development [16].']	(5303, 5467)	FALSE
PMC6039335.nxml.gz	33	['Then, myogenic progenitor cells further develop into muscle fibres and satellite cells, while adipogenic–fibrogenic progenitor cells develop into the stromal–vascular fraction of skeletal muscle, where adipocytes, fibroblasts, and resident adipogenic–fibrogenic progenitor cells reside [16].']	(5468, 5759)	FALSE
PMC6039335.nxml.gz	34	['Du et al [17] suggested that a shift in development of mesenchymal stem cells from myogenesis to adipogenesis may increase IMF deposition later in life.']	(5760, 5912)	FALSE
PMC6039335.nxml.gz	35	['Adipogenesis is a comprehensive term that includes commitment of mesenchymal stem cells to preadipocytes, determination and proliferation of preadipocytes, and differentiation of preadipocytes into mature adipocytes [19].']	(5913, 6134)	FALSE
PMC6039335.nxml.gz	36	['Adipogenesis normally begins around mid-gestation in ruminant animals [20].']	(6135, 6210)	FALSE
PMC6039335.nxml.gz	37	['Differentiation of adipogenic cells occurs during fetal and postnatal stages.']	(6211, 6288)	FALSE
PMC6039335.nxml.gz	38	['In the fetal stage, the main process is increasing the number of adipocytes (hyperplasia) derived from adipogenic–fibrogenic progenitor cells [21].']	(6289, 6436)	FALSE
PMC6039335.nxml.gz	39	['It has been suggested that adipocyte formation in muscle begins approximately between late gestation and 250 d after birth in cattle [16].']	(6437, 6575)	FALSE
PMC6039335.nxml.gz	40	['Hyperplasia of fat cells mainly occurs from conception until birth, and hypertrophy is a greater contributor to IMF deposition than is hyperplasia from 250 d of age to slaughter [16,17].']	(6576, 6762)	FALSE
PMC6039335.nxml.gz	41	['Both hyperplasia and hypertrophy are involved in IMF deposition (Figure 1).']	(6763, 6838)	FALSE
PMC6039335.nxml.gz	42	['Therefore, strategies that up-regulate both hyperplasia and hypertrophy of fat cells are effective ways to improve IMF deposition.']	(6839, 6969)	TRUE
PMC6039335.nxml.gz	43	['After birth, the adipogenic–fibrogenic progenitor cells re main on some parts of the stromal vascular cells in adipose tissue, later serving as precursors to preadipocytes and adipocytes [16,22].']	(6970, 7165)	FALSE
PMC6039335.nxml.gz	44	['The nutritional and physiological condition of the fetus and the early postnatal stage affects the number of adipocytes in adipose tissues of animals [16].']	(7166, 7321)	FALSE
PMC6039335.nxml.gz	45	['Thus, managing maternal nutrition is a potentially effective way to promote adipogenesis in fetal muscle [16].']	(7322, 7432)	FALSE
PMC6039335.nxml.gz	46	['Du et al [17] suggested that the order of effectiveness of nutritional management for manipulating IMF deposition is fetal stage>neonatal stage> weaning stage>older stages.']	(7433, 7605)	FALSE
PMC6039335.nxml.gz	47	['Harper and Pethick [23] recommended that producers focus on individuals with high genetic capacity to create more preadipocytes within animal muscle.']	(7606, 7755)	TRUE
PMC6039335.nxml.gz	48	['Then, preadipocytes can differentiate during the finishing stage when they fill with lipid to grow into visible marbling by hypertrophy.']	(7756, 7892)	FALSE
PMC6039335.nxml.gz	49	['Albrecht et al [24] reported that hyperplasia of preadipocytes also plays an important role in marbling formation during postnatal growth of IMF because new marbling flecks appear after recruitment and filling with preadipocytes.']	(7893, 8122)	FALSE
PMC6039335.nxml.gz	50	['Four major adipose tissue depots exist in animals: ab dominal, subcutaneous, intermuscular, and intramuscular.']	(8123, 8233)	FALSE
PMC6039335.nxml.gz	51	['Adipogenesis in beef cattle is first initiated in abdominal (visceral) adipocytes around mid-gestation [16].']	(8234, 8342)	FALSE
PMC6039335.nxml.gz	52	['According to Du et al [16], this adipogenesic phase extends to the neonatal period for abdominal adipocytes, to the early weaning stage for subcutaneous and intermuscular adipocytes, and to around 250 d of age for IMF.']	(8343, 8561)	FALSE
PMC6039335.nxml.gz	53	['Thus, during the late fattening stage of beef cattle, marbling adipocytes may grow continuously even though development of abdominal, intermuscular, and subcutaneous fat may slow or cease.']	(8562, 8750)	FALSE
PMC6039335.nxml.gz	54	['GENETIC FACTORS\n\nBreed and sex differences\nIntramuscular fat content in the LM varies significantly depending on the cattle breed.']	(8752, 8882)	FALSE
