PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC2999828.nxml.gz	0	['Asthma and Allergic Diseases in Pregnancy: A Review\n\nAbstract\nAsthma and allergic disorders can affect the course and outcome of pregnancy.']	(0, 139)	FALSE
PMC2999828.nxml.gz	1	['Pregnancy itself may also affect the course of asthma and related diseases.']	(140, 215)	FALSE
PMC2999828.nxml.gz	2	['Optimal management of these disorders during pregnancy is vital to ensure the welfare of the mother and the baby.']	(216, 329)	FALSE
PMC2999828.nxml.gz	3	['Specific pharmacological agents for treatment of asthma or allergic diseases must be cautiously selected and are discussed here with respect to safety considerations in pregnancy.']	(330, 509)	FALSE
PMC2999828.nxml.gz	4	['Although most drugs do not harm the fetus, this knowledge is incomplete.']	(510, 582)	FALSE
PMC2999828.nxml.gz	5	['Any drug may carry a small risk that must be balanced against the benefits of keeping the mother and baby healthy.']	(583, 697)	FALSE
PMC2999828.nxml.gz	6	['The goals and principles of management for acute and chronic asthma, rhinitis, and dermatologic disorders are the same during pregnancy as those for asthma in the general population.']	(698, 880)	FALSE
PMC2999828.nxml.gz	7	["Diagnosis of allergy during pregnancy should mainly consist of the patient's history and in vitro testing."]	(881, 987)	TRUE
PMC2999828.nxml.gz	8	['The assured and well-evaluated risk factors revealed for sensitization in mother and child are very limited, to date, and include alcohol consumption, exposure to tobacco smoke, maternal diet and diet of the newborn, drug usage, and insufficient exposure to environmental bacteria.']	(988, 1269)	FALSE
PMC2999828.nxml.gz	9	['Consequently, the recommendations for primary and secondary preventive measures are also very limited in number and verification.']	(1270, 1399)	TRUE
PMC2999828.nxml.gz	10	['Allergy is a hypersensitivity reaction initiated by specific immunologic responses [1,2] against foreign, usually harmless, substances.']	(1400, 1535)	FALSE
PMC2999828.nxml.gz	11	['The most common allergens worldwide include pollen, dust mites, molds, animal dander, cockroach, insect venom, and certain foods.']	(1536, 1665)	FALSE
PMC2999828.nxml.gz	12	['Classification and Mechanism\nHypersensitivity against allergens can be mediated by either antibodies or T lymphocytes.']	(1667, 1785)	FALSE
PMC2999828.nxml.gz	13	['Allergies or hyperreactivities have been classified by Gells and Coombs into types I through IV, with types I, II, and III being mediated by antibodies or immune complexes and type IV reactions as well as chronic stages of allergic diseases being mediated by T cells [1].']	(1786, 2057)	FALSE
PMC2999828.nxml.gz	14	['The focus of this review is set on asthma and type I allergy associated with pregnancy.']	(2058, 2145)	FALSE
PMC2999828.nxml.gz	15	['The sensitization process involves the production of allergen-specific immunoglobulin E (IgE) antibodies, which are fixed to mast cells via their high-affinity receptor, Fc epsilon receptor I (Fc ε RI).']	(2146, 2348)	FALSE
PMC2999828.nxml.gz	16	['On a subsequent encounter with the allergen, bridging of 2 or more IgE antibodies leads to degranulation of the mast cell with release of preformed mediators such as histamine, serotonin, tryptase, chymase, kininogenase, and heparin.']	(2349, 2582)	FALSE
PMC2999828.nxml.gz	17	['Cross-linking is more likely if the allergen occurs in dimerized or multimerized form [3].']	(2583, 2673)	FALSE
PMC2999828.nxml.gz	18	['The mediator release results in the well-recognized acute allergic inflammation characterized by itching, redness, and tissue edema involving the skin, respiratory tract, circulation, and gastrointestinal tract.']	(2674, 2885)	FALSE
PMC2999828.nxml.gz	19	['Immediate-phase type I allergic symptoms usually occur within several minutes after allergen contact.']	(2886, 2987)	FALSE
PMC2999828.nxml.gz	20	['After degranulation, mast cells lose membrane area, become activated, and start a de novo synthesis of prostaglandins and leukotrienes from membrane arachidonic acid [4,5].']	(2988, 3160)	FALSE
PMC2999828.nxml.gz	21	['The newly synthesized cytokines and chemokines lead to the late-phase reaction associated with tissue edema by recruitment and activation of additional inflammatory cells, including basophils, eosinophils, and T helper type 2 (Th2) lymphocytes [6].']	(3161, 3409)	FALSE
PMC2999828.nxml.gz	22	['Late-phase reactions are observed several hours to days after allergen contact.']	(3410, 3489)	FALSE
PMC2999828.nxml.gz	23	['Part 1: Specific Allergic Diseases in Pregnancy\n\nEpidemiology: Prevalence of Asthma and Allergy in Pregnant Women\nAllergic sensitization to common allergens can be detected in approximately 25% to 35% of the general population in industrialized countries [7].']	(3491, 3750)	FALSE
PMC2999828.nxml.gz	24	['In the United States, about 18% to 30% of women in the childbearing age have allergic diseases, especially rhinitis [8] and asthma [9].']	(3751, 3886)	FALSE
PMC2999828.nxml.gz	25	['Other allergic diseases that may complicate pregnancy include conjunctivitis, acute urticaria, anaphylaxis, food allergy, and drug allergy.']	(3887, 4026)	FALSE
PMC2999828.nxml.gz	26	['These disorders represent the most common group of medical conditions that complicate pregnancy.']	(4027, 4123)	FALSE
PMC2999828.nxml.gz	27	['Asthma and allergic disorders can affect the course and outcome of the pregnancy.']	(4124, 4205)	FALSE
PMC2999828.nxml.gz	28	['Pregnancy itself may also affect the course of asthma and other diseases [10].']	(4206, 4284)	FALSE
PMC2999828.nxml.gz	29	['Optimal management of these disorders during pregnancy is vital to ensure the welfare of the mother and the baby.']	(4285, 4398)	FALSE
PMC2999828.nxml.gz	30	['Specific pharmacological agents for treatment of asthma or allergic diseases must be cautiously selected.']	(4399, 4504)	FALSE
PMC2999828.nxml.gz	31	['Although most drugs do not harm the fetus, this knowledge is incomplete.']	(4505, 4577)	FALSE
PMC2999828.nxml.gz	32	['Any drug may carry a small risk that must be balanced against the benefits of keeping the mother and baby healthy.']	(4578, 4692)	FALSE
PMC2999828.nxml.gz	33	['Safety of Asthma and Allergy Medication in Pregnancy\nThe ideal situation during pregnancy is "no pharmacological therapy," especially during the first trimester.']	(4694, 4855)	FALSE
PMC2999828.nxml.gz	34	['However, the reality is that medications must be considered for pregnant patients with medical disorders, based on a thorough appreciation of the potential deleterious effects of untreated disease.']	(4856, 5053)	TRUE
