PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC5143410.nxml.gz	0	['Recurrent acral angioosteoma cutis in a pregnant patient\n\nIntroduction\nGooge et\xa0al in 2006 first described 11 cases of acral angioosteoma cutis (AAOC), characterized by benign vascular and osseous lesions on acral skin.1Since then, there have been only 3 additional cases reported.2,3,4This friable erythematous exophytic papule has clinical resemblance to pyogenic granuloma (PG) but has distinct histologic features.']	(0, 418)	FALSE
PMC5143410.nxml.gz	1	['Therefore, it is crucial for dermatologists to be aware of this condition, as it is rare and likely often misdiagnosed.']	(419, 538)	TRUE
PMC5143410.nxml.gz	2	['To our knowledge, this case is the first report of AAOC in pregnancy.']	(539, 608)	FALSE
PMC5143410.nxml.gz	3	['Case report\nA 12-week-pregnant 35-year-old woman presented with an approximately 4-week history of a growing, tender papule under her right great toenail.']	(610, 764)	FALSE
PMC5143410.nxml.gz	4	['She initially noticed nail discoloration; then she reported progressively worsening discomfort with lifting of her nail plate.']	(765, 891)	FALSE
PMC5143410.nxml.gz	5	['She denied any other medical problems, denied any medications other than prenatal vitamins, and reported no complications with her pregnancy.']	(892, 1033)	FALSE
PMC5143410.nxml.gz	6	['Four weeks later, once she was well into the second trimester of her pregnancy, a\xa0shave removal with electrodessication of the base\xa0was performed after reflecting the nail plate proximally to expose the lesion.']	(1034, 1244)	FALSE
PMC5143410.nxml.gz	7	['The patient subsequently returned 8\xa0weeks postprocedure reporting evidence of recurrence that began approximately 2\xa0weeks prior.']	(1245, 1373)	FALSE
PMC5143410.nxml.gz	8	['On evaluation of this recurrence, a 0.8- × 0.9-cm friable erythematous papule was noted under the onycholytic distal right great toenail and extended distal to the onychodermal band (Fig 1).']	(1374, 1564)	FALSE
PMC5143410.nxml.gz	9	['Using a nail splitter, the nail plate was vertically cut and reflected proximally to completely visualize the lesion.']	(1565, 1682)	FALSE
PMC5143410.nxml.gz	10	['A deeper shave removal was performed with aggressive electrodessication of the base to minimize risk of recurrence.']	(1683, 1798)	FALSE
PMC5143410.nxml.gz	11	['The nail plate was subsequently reflected back into place.']	(1799, 1857)	FALSE
PMC5143410.nxml.gz	12	['Histopathologic examination found an inflammatory crust covering an ulceration that consisted of a dense proliferation of capillaries and endothelial cells in the dermis (Fig 2).']	(1858, 2036)	FALSE
PMC5143410.nxml.gz	13	['The capillaries were not arranged in lobules and rather were dispersed among spicules of mineralized bone.']	(2037, 2143)	FALSE
PMC5143410.nxml.gz	14	['The spicules of bone\xa0contained osteocytes and were lined by benign-appearing osteoblasts (Fig 3).']	(2144, 2241)	FALSE
PMC5143410.nxml.gz	15	['Discussion\nClinically, AAOC appears as a friable erythematous exophytic papule on digits, palms, or soles and can develop at any age with slight female predominance.']	(2243, 2408)	FALSE
PMC5143410.nxml.gz	16	['It closely resembles other benign lesions such as PG.']	(2409, 2462)	FALSE
