	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	Genetic	NNP	0	7	O	None	None	None
1	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	,	,	7	8	O	None	None	None
2	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	management	NN	9	19	O	None	None	None
3	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	,	,	19	20	O	None	None	None
4	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	and	CC	21	24	O	None	None	None
5	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	nutritional	JJ	25	36	O	None	None	None
6	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	factors	NNS	37	44	O	None	None	None
7	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	affecting	VBG	45	54	O	None	None	None
8	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	intramuscular	JJ	55	68	O	None	None	None
9	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	fat	JJ	69	72	O	None	None	None
10	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	deposition	NN	73	83	O	None	None	None
11	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	in	IN	84	86	O	None	None	None
12	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	beef	NN	87	91	O	None	None	None
13	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	cattle	NNS	92	98	O	None	None	None
14	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	—	VBD	99	100	O	None	None	None
15	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	A	NNP	101	102	O	None	None	None
16	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	review	NN	103	109	O	None	None	None
17	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	Abstract	NNP	111	119	O	None	None	None
18	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	Intramuscular	NNP	120	133	O	None	None	None
19	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	fat	NN	134	137	O	None	None	None
20	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	(	(	138	139	O	None	None	None
21	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	IMF	NNP	139	142	O	None	None	None
22	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	)	)	142	143	O	None	None	None
23	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	content	NN	144	151	O	None	None	None
24	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	in	IN	152	154	O	None	None	None
25	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	skeletal	JJ	155	163	O	None	None	None
26	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	muscle	NN	164	170	O	None	None	None
27	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	including	VBG	171	180	O	None	None	None
28	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	the	DT	181	184	O	None	None	None
29	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	longissimus	NN	185	196	O	None	None	None
30	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	dorsi	NN	197	202	O	None	None	None
31	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	muscle	NN	203	209	O	None	None	None
32	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	(	(	210	211	O	None	None	None
33	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	LM	NNP	211	213	O	None	None	None
34	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	),	NNP	213	215	O	None	None	None
35	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	also	RB	216	220	O	None	None	None
36	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	known	VBN	221	226	O	None	None	None
37	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	as	IN	227	229	O	None	None	None
38	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	marbling	VBG	230	238	O	None	None	None
39	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	fat	NN	239	242	O	None	None	None
40	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	,	,	242	243	O	None	None	None
41	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	is	VBZ	244	246	O	None	None	None
42	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	one	CD	247	250	O	None	None	None
43	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	of	IN	251	253	O	None	None	None
44	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	the	DT	254	257	O	None	None	None
45	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	most	RBS	258	262	O	None	None	None
46	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	important	JJ	263	272	O	None	None	None
47	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	factors	NNS	273	280	O	None	None	None
48	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	determining	VBG	281	292	O	None	None	None
49	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	beef	NN	293	297	O	None	None	None
50	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	quality	NN	298	305	O	None	None	None
51	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	in	IN	306	308	O	None	None	None
52	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	several	JJ	309	316	O	None	None	None
53	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	countries	NNS	317	326	O	None	None	None
54	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	including	VBG	327	336	O	None	None	None
55	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	Korea	NNP	337	342	O	None	None	None
56	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	,	,	342	343	O	None	None	None
57	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	Japan	NNP	344	349	O	None	None	None
58	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	,	,	349	350	O	None	None	None
59	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	Australia	NNP	351	360	O	None	None	None
60	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	,	,	360	361	O	None	None	None
61	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	and	CC	362	365	O	None	None	None
62	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	the	DT	366	369	O	None	None	None
63	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	United	NNP	370	376	O	None	None	None
64	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	States	NNPS	377	383	O	None	None	None
65	PMC6039335.nxml.gz	PMC6039335.nxml.gz_0	0	384	.	.	383	384	O	None	None	None
66	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	Genetics	NNS	385	393	O	None	None	None
67	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	and	CC	394	397	O	None	None	None
68	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	breed	NN	398	403	O	None	None	None
69	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	,	,	403	404	O	None	None	None
70	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	management	NN	405	415	O	None	None	None
71	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	,	,	415	416	O	None	None	None
72	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	and	CC	417	420	O	None	None	None
73	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	nutrition	NN	421	430	O	None	None	None
74	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	affect	VBP	431	437	O	None	None	None
75	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	IMF	NNP	438	441	O	None	None	None
76	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	deposition	NN	442	452	O	None	None	None
77	PMC6039335.nxml.gz	PMC6039335.nxml.gz_1	385	453	.	.	452	453	O	None	None	None
78	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	Japanese	JJ	454	462	O	None	None	None
79	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	Black	NNP	463	468	O	None	None	None
80	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	cattle	NNS	469	475	O	None	None	None
81	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	breed	NN	476	481	O	None	None	None
82	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	has	VBZ	482	485	O	None	None	None
83	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	the	DT	486	489	O	None	None	None
84	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	highest	JJS	490	497	O	None	None	None
85	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	IMF	JJ	498	501	O	None	None	None
86	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	content	NN	502	509	O	None	None	None
87	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	in	IN	510	512	O	None	None	None
88	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	the	DT	513	516	O	None	None	None
89	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	world	NN	517	522	O	None	None	None
90	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	,	,	522	523	O	None	None	None
91	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	and	CC	524	527	O	None	None	None
92	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	Korean	NNP	528	534	O	None	None	None
93	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	cattle	NNS	535	541	O	None	None	None
94	PMC6039335.nxml.gz	PMC6039335.nxml.gz_2	454	582	(	(	542	543	O	None	None	None
