PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC4715834.nxml.gz	0	['Evaluating Provider Advice and Women’s Beliefs on Total Weight Gain During Pregnancy\n\nAbstract\nExcessive gestational weight gain (GWG) is associated with complications for both mother and child.']	(0, 194)	FALSE
PMC4715834.nxml.gz	1	['Minority women are at increased risk for excessive GWG, yet are underrepresented in published weight control interventions.']	(195, 318)	FALSE
PMC4715834.nxml.gz	2	['To inform future interventions, we examined the prevalence and accuracy of provider advice and its association with personal beliefs about necessary maternal weight gain among predominantly Latina pregnant women.']	(319, 531)	FALSE
PMC4715834.nxml.gz	3	['Secondary analysis examining baseline data (N\xa0=\xa0123) from a healthy lifestyle randomized controlled trial conducted in and urban area of the South East.']	(532, 684)	FALSE
PMC4715834.nxml.gz	4	['Only 23.6\xa0% of women reported being told how much weight to gain during pregnancy; although 58.6\xa0% received advice that met Institute of Medicine recommendations.']	(685, 847)	FALSE
PMC4715834.nxml.gz	5	['Concordance of mothers’ personal weight gain target with clinical recommendations varied by mothers’ pre-pregnancy weight status [ χ(4)2\xa0=\xa09.781, p \xa0=\xa00.044].']	(848, 1006)	FALSE
PMC4715834.nxml.gz	6	['Findings suggest the need for prenatal providers of low-income, minority women to engage patients in shaping healthy weight gain targets as a precursor to preventing excessive GWG and its complications.']	(1007, 1209)	TRUE
PMC4715834.nxml.gz	7	['Introduction\nIn 2009, the Institute of Medicine (IOM) revised its guidelines for appropriate weight gain during pregnancy, taking into account the growing prevalence of obesity in women of childbearing age [1].']	(1211, 1421)	FALSE
PMC4715834.nxml.gz	8	['(Table\xa01) Over 40\xa0% of pregnant women exceed the IOM recommendations for gestational weight gain (GWG), with overweight and obese women at increased risk [2].']	(1422, 1580)	FALSE
PMC4715834.nxml.gz	9	['Excessive weight gain during pregnancy is associated with complications in delivery [3], increased postpartum weight retention [4], persistent obesity [4], increased BMI in offspring in childhood, adolescence and adulthood [5], and longer maternal hospital stay after labor and delivery [5].']	(1581, 1872)	FALSE
PMC4715834.nxml.gz	10	['Caption (TABLE-WRAP): TABLE\xa01\n\nClinical recommendations for cumulative gestational weight gain by pre-pregnancy BMI for mothers of singletons and twins at gestational ages 37–42\xa0weeks (IOM, 2009 )Prepregnancy BMIRecommended range ofCumulative weight gain (lbs)SingletonTwinsUnderweight (<18.5\xa0kg/m2)28–40–Normal (18.5–24.9\xa0kg/m2)25–3537–54Overweight (25.0–29.9\xa0kg/m2)15–2531–50Obese (≥30.0\xa0kg/m2)11–2024–42\nActual weight gain during pregnancy is strongly influenced by provider recommendation [6,7].']	(1874, 2373)	FALSE
