	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	Dietary	NNP	0	7	O	None	None	None
1	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	intake	NN	8	14	O	None	None	None
2	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	of	IN	15	17	O	None	None	None
3	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	fish	NN	18	22	O	None	None	None
4	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	,	,	22	23	O	None	None	None
5	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	omega	JJ	24	29	O	None	None	None
6	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	-	:	29	30	O	None	None	None
7	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	3	CD	30	31	O	None	None	None
8	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	,	,	31	32	O	None	None	None
9	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	omega	SYM	33	38	O	None	None	None
10	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	-	:	38	39	O	None	None	None
11	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	6	CD	39	40	O	None	None	None
12	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	polyunsaturated	JJ	41	56	O	None	None	None
13	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	fatty	JJ	57	62	O	None	None	None
14	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	acids	NNS	63	68	O	None	None	None
15	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	and	CC	69	72	O	None	None	None
16	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	vitamin	NN	73	80	O	None	None	None
17	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	D	NNP	81	82	O	None	None	None
18	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	and	CC	83	86	O	None	None	None
19	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	the	DT	87	90	O	None	None	None
20	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	prevalence	NN	91	101	O	None	None	None
21	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	of	IN	102	104	O	None	None	None
22	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	psychotic	JJ	105	114	O	None	None	None
23	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	-	:	114	115	O	None	None	None
24	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	like	IN	115	119	O	None	None	None
25	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	symptoms	NNS	120	128	O	None	None	None
26	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	in	IN	129	131	O	None	None	None
27	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	a	DT	132	133	O	None	None	None
28	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	cohort	NN	134	140	O	None	None	None
29	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	of	IN	141	143	O	None	None	None
30	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	33	CD	144	146	O	None	None	None
31	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	000	CD	147	150	O	None	None	None
32	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	women	NNS	151	156	O	None	None	None
33	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	from	IN	157	161	O	None	None	None
34	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	the	DT	162	165	O	None	None	None
35	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	general	JJ	166	173	O	None	None	None
36	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	population	NN	174	184	O	None	None	None
37	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	Abstract	NNP	186	194	O	None	None	None
38	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	Background	NNP	196	206	O	None	None	None
39	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	Low	NNP	207	210	O	None	None	None
40	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	intake	NN	211	217	O	None	None	None
41	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	of	IN	218	220	O	None	None	None
42	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	fish	NN	221	225	O	None	None	None
43	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	,	,	225	226	O	None	None	None
44	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	polyunsaturated	VBD	227	242	O	None	None	None
45	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	fatty	JJ	243	248	O	None	None	None
46	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	acids	NNS	249	254	O	None	None	None
47	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	(	(	255	256	O	None	None	None
48	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	PUFA	NNP	256	260	O	None	None	None
49	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	)	)	260	261	O	None	None	None
50	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	and	CC	262	265	O	None	None	None
51	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	vitamin	$	266	273	O	None	None	None
52	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	D	NNP	274	275	O	None	None	None
53	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	deficiency	NN	276	286	O	None	None	None
54	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	has	VBZ	287	290	O	None	None	None
55	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	been	VBN	291	295	O	None	None	None
56	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	suggested	VBN	296	305	O	None	None	None
57	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	to	TO	306	308	O	None	None	None
58	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	play	VB	309	313	O	None	None	None
59	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	a	DT	314	315	O	None	None	None
60	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	role	NN	316	320	O	None	None	None
61	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	in	IN	321	323	O	None	None	None
62	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	the	DT	324	327	O	None	None	None
63	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	development	NN	328	339	O	None	None	None
64	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	of	IN	340	342	O	None	None	None
65	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	schizophrenia	NN	343	356	O	None	None	None
66	PMC2889879.nxml.gz	PMC2889879.nxml.gz_0	0	357	.	.	356	357	O	None	None	None
67	PMC2889879.nxml.gz	PMC2889879.nxml.gz_1	358	557	Our	PRP$	358	361	O	None	None	None
68	PMC2889879.nxml.gz	PMC2889879.nxml.gz_1	358	557	aim	NN	362	365	O	None	None	None
69	PMC2889879.nxml.gz	PMC2889879.nxml.gz_1	358	557	was	VBD	366	369	O	None	None	None
70	PMC2889879.nxml.gz	PMC2889879.nxml.gz_1	358	557	to	TO	370	372	O	None	None	None
71	PMC2889879.nxml.gz	PMC2889879.nxml.gz_1	358	557	evaluate	VB	373	381	O	None	None	None
72	PMC2889879.nxml.gz	PMC2889879.nxml.gz_1	358	557	the	DT	382	385	O	None	None	None
73	PMC2889879.nxml.gz	PMC2889879.nxml.gz_1	358	557	association	NN	386	397	O	None	None	None
74	PMC2889879.nxml.gz	PMC2889879.nxml.gz_1	358	557	between	IN	398	405	O	None	None	None
