	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	Oesophageal	NNP	0	11	O	None	None	None
1	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	cancer	NN	12	18	O	None	None	None
2	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	studies	NNS	19	26	O	None	None	None
3	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	in	IN	27	29	O	None	None	None
4	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	the	DT	30	33	O	None	None	None
5	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	Caspian	JJ	34	41	O	None	None	None
6	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	Littoral	NNP	42	50	O	None	None	None
7	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	of	IN	51	53	O	None	None	None
8	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	Iran	NNP	54	58	O	None	None	None
9	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	:	:	58	59	O	None	None	None
10	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	results	NNS	60	67	O	None	None	None
11	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	of	IN	68	70	O	None	None	None
12	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	a	DT	71	72	O	None	None	None
13	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	case	NN	73	77	O	None	None	None
14	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	-	:	77	78	O	None	None	None
15	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	control	NN	78	85	O	None	None	None
16	PMC2009866.nxml.gz	PMC2009866.nxml.gz_0	0	92	study	NN	86	91	O	None	None	None
