	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	Visfatin	NNP	0	8	O	None	None	None
1	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	as	IN	9	11	O	None	None	None
2	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	a	DT	12	13	O	None	None	None
3	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	predictor	NN	14	23	O	None	None	None
4	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	for	IN	24	27	O	None	None	None
5	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	growth	NN	28	34	O	None	None	None
6	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	of	IN	35	37	O	None	None	None
7	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	fetus	NN	38	43	O	None	None	None
8	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	and	CC	44	47	O	None	None	None
9	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	infant	JJ	48	54	O	None	None	None
10	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	Abstract	NNP	56	64	O	None	None	None
11	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	Objective	NNP	66	75	O	None	None	None
12	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	:	:	75	76	O	None	None	None
13	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	Visfatin	NNP	77	85	O	None	None	None
14	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	is	VBZ	86	88	O	None	None	None
15	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	an	DT	89	91	O	None	None	None
16	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	adipocytokine	NN	92	105	O	None	None	None
17	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	that	WDT	106	110	O	None	None	None
18	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	functions	NNS	111	120	O	None	None	None
19	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	as	IN	121	123	O	None	None	None
20	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	an	DT	124	126	O	None	None	None
21	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	enzyme	NN	127	133	O	None	None	None
22	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	and	CC	134	137	O	None	None	None
23	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	a	DT	138	139	O	None	None	None
24	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	growth	NN	140	146	O	None	None	None
25	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	factor	NN	147	153	O	None	None	None
26	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	to	TO	154	156	O	None	None	None
27	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	investigate	VB	157	168	O	None	None	None
28	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	the	DT	169	172	O	None	None	None
29	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	relationship	NN	173	185	O	None	None	None
30	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	between	IN	186	193	O	None	None	None
31	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	serum	NN	194	199	O	None	None	None
32	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	visfatin	NN	200	208	O	None	None	None
33	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	and	CC	209	212	O	None	None	None
34	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	the	DT	213	216	O	None	None	None
35	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	fetus	NN	217	222	O	None	None	None
36	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	’	NNP	222	223	O	None	None	None
37	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	s	NN	223	224	O	None	None	None
38	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	anthropometric	NN	225	239	O	None	None	None
39	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	markers	NNS	240	247	O	None	None	None
40	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	up	RB	248	250	O	None	None	None
41	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	to	TO	251	253	O	None	None	None
42	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	a	DT	254	255	O	None	None	None
43	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	year	NN	256	260	O	None	None	None
44	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	after	IN	261	266	O	None	None	None
45	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	birth	NN	267	272	O	None	None	None
46	PMC6022422.nxml.gz	PMC6022422.nxml.gz_0	0	273	.	.	272	273	O	None	None	None
47	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	Materials	NNS	275	284	O	None	None	None
48	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	and	CC	285	288	O	None	None	None
49	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	Methods	NNS	289	296	O	None	None	None
50	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	:	:	296	297	O	None	None	None
51	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	Forty	NNP	298	303	O	None	None	None
52	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	-	:	303	304	O	None	None	None
53	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	one	CD	304	307	O	None	None	None
54	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	eligible	JJ	308	316	O	None	None	None
55	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	pregnant	JJ	317	325	O	None	None	None
56	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	women	NNS	326	331	O	None	None	None
57	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	in	IN	332	334	O	None	None	None
58	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	their	PRP$	335	340	O	None	None	None
59	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	first	JJ	341	346	O	None	None	None
60	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	trimester	NN	347	356	O	None	None	None
61	PMC6022422.nxml.gz	PMC6022422.nxml.gz_1	275	578	were	VBD	357	361	O	None	None	None
