PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
PMC3271033.nxml.gz	0	['Effects of ethnicity and vitamin D supplementation on vitamin D status and changes in bone mineral content in infants\n\nAbstract\n\nAbstract\n\nBackground\nTo evaluate the effects on serum 25(OH)D and bone mineralization of supplementation of breast-fed Hispanic and non-Hispanic Caucasian infants with vitamin D in infants in Houston, Texas.']	(0, 336)
PMC3271033.nxml.gz	1	['Methods\nWe measured cord serum 25(OH)D levels, bone mineral content (BMC), bone mineral density (BMD) and their changes over 3 months of life with 400 IU/day of vitamin D3 supplementation.']	(338, 526)
PMC3271033.nxml.gz	2	['Results\nCord serum 25(OH)D was significantly lower in Hispanic than non-Hispanic Caucasian infants (16.4 ± 6.5 ng/mL, n = 27, vs 22.3 ± 9.4 n = 22, p = 0.013).']	(528, 687)
PMC3271033.nxml.gz	3	['Among 38 infants who completed a 3 month vitamin D supplementation intervention, provision of 400 IU/day of vitamin D increased final 25(OH)D to a higher level in non-Hispanic Caucasian compared to Hispanic infants.']	(688, 903)
PMC3271033.nxml.gz	4	['There was no significant relationship between cord serum 25(OH)D and BMC or BMD in the first week of life (n = 49) or after 3 months of vitamin D supplementation.']	(904, 1066)
PMC3271033.nxml.gz	5	['Conclusion\nLow cord 25(OH)D levels are seen in Hispanic infants, but their functional significance is uncertain related to bone health in a southern US setting.']	(1068, 1228)
PMC3271033.nxml.gz	6	['Daily vitamin D intake of 400 IU during the first months of life appears adequate to increase serum 25(OH)D and support BMC increases despite low initial 25(OH)D levels in some infants.']	(1229, 1414)
PMC3271033.nxml.gz	7	['Trial Registration\nClincalTrials.govNCT00697294\n\nBackground\nVitamin D has been given to infants to prevent and treat rickets for almost 100 years.']	(1416, 1562)
PMC3271033.nxml.gz	8	['The recommended dose of 400 IU (10 micrograms) daily for infants was established based on typical amounts in a teaspoon of cod liver oil [1].']	(1563, 1704)
PMC3271033.nxml.gz	9	['This recommendation has recently been reaffirmed as being appropriate by both the Institute of Medicine [2] and the American Academy of Pediatrics [3] whereas the Endocrine Society considers the 400 IU to be a minimum appropriate dose [4].']	(1705, 1944)
PMC3271033.nxml.gz	10	['Although the dose of 400 IU daily is used for both breast-fed and formula-fed babies, vitamin D-deficient rickets is extremely rare in formula-fed infants primarily due to the mandatory addition of vitamin D to infant formulas in the United States.']	(1945, 2193)
PMC3271033.nxml.gz	11	['Formula-fed infants typically consume 300-500 IU/day from their formula and therefore generally meet the current recommendations without an additional oral supplement of vitamin D drops especially after the first 6 to 8 weeks of life.']	(2194, 2428)
PMC3271033.nxml.gz	12	['The relatively greater calcium and phosphorus concentration in US infant formulas compared to human milk may also be protective against rickets in some infants.']	(2429, 2589)
PMC3271033.nxml.gz	13	['Remarkably, few data have looked at modern techniques of assessing bone mineral status and compared it to vitamin D levels and supplementation in this population [5].']	(2590, 2756)
PMC3271033.nxml.gz	14	['Serum 25-hydroxyvitamin D (25(OH)D) is accepted as the best marker of vitamin D status although it may serve primarily as a marker of exposure rather than clinical outcomes [2].There are few data that correlate serum 25(OH)D levels with functional outcomes in newborns and small infants.']	(2757, 3044)
PMC3271033.nxml.gz	15	['Neonatal serum 25(OH)D levels reflect a range of in utero factors, most significant of these being the maternal vitamin D status [6].']	(3045, 3178)
